Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
O94906,O94906-2;O94906,PRP6_HUMAN,PRPF6,Pre-mRNA-processing factor 6,34,1471560,1636620,1577720,1133020,961619,1235390
P22234;P22234-2,D6RF62;E9PBS1;P22234-2;P22234,PUR6-2_HUMAN;PUR6_HUMAN,PAICS,Multifunctional protein ADE2,15,1110830,1037840,1138370,1610550,1504410,1499230
Q6P1L8,Q6P1L8,RM14_HUMAN,MRPL14,"39S ribosomal protein L14, mitochondrial",6,1261730,327504,667349,1616370,2321740,1653840
O75934,O75934,SPF27_HUMAN,BCAS2,Pre-mRNA-splicing factor SPF27,9,1587010,1491070,1382210,1110820,1111680,1146500
P53803,P53803,RPAB4_HUMAN,POLR2K,"DNA-directed RNA polymerases I, II, and III subunit RPABC4",1,1184710,1306470,916023,1357440,892945,2165560
O75821,K7EL20;K7ENA8;K7EP16;K7ER90;O75821,EIF3G_HUMAN,EIF3G,Eukaryotic translation initiation factor 3 subunit G,9,560264,908216,479055,1377410,1947810,2483140
P32969,D6RAN4;E7ESE0;P32969,RL9_HUMAN,RPL9P9,60S ribosomal protein L9,6,1244430,897774,714449,1674810,1503220,1702350
O00425,O00425-2;O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,19,1066320,991099,1249620,1556910,1653860,1213050
P46778,G3V1B3;M0R181;P46778,RL21_HUMAN,RPL21,60S ribosomal protein L21,9,1087020,915458,865373,1938950,1070650,1813420
Q8NI27,A0A0C4DG98;H0Y815;Q8NI27,THOC2_HUMAN,THOC2,THO complex subunit 2,29,1781410,1665850,1979190,941684,640488,617258
P51148;P51148-2,F8VUA5;F8VVK3;F8VVZ0;K7ENY4;K7ERQ8;P20339-2;P51148-2;P61020-2;K7ERI8;P20339;P51148;P61020,RAB5C-2_HUMAN;RAB5C_HUMAN,RAB5C,Ras-related protein Rab-5C,6,1270840,1206600,1148970,1418540,1351160,1187750
P09038;P09038-1;P09038-2;P09038-3,A0A087WUF6;A0A0A0MQV6;P09038-1;P09038-2;P09038-3;P09038,FGF2-1_HUMAN;FGF2-2_HUMAN;FGF2-3_HUMAN;FGF2_HUMAN,FGF2,Fibroblast growth factor 2,5,1066670,699563,1042200,1400930,1833970,1525110
P20930,P20930,FILA_HUMAN,FLG,Filaggrin,7,2645740,1425720,1252760,213016,440003,1483600
Q8NC51;Q8NC51-2,Q8NC51-2;Q8NC51-3;Q8NC51-4;Q8NC51,PAIRB-2_HUMAN;PAIRB_HUMAN,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein,13,981648,777835,644800,1702300,1697600,1500770
Q99623,F5GWA7;F5GY37;F5H3X6;J3KPX7;Q99623-2;Q99623,PHB2_HUMAN,PHB2,Prohibitin-2,16,1365090,1034830,1179950,1310450,1552080,813762
Q9HCN8,Q9HCN8,SDF2L_HUMAN,SDF2L1,Stromal cell-derived factor 2-like protein 1,5,1049930,1604670,1316100,777510,652920,1845430
P39023,B5MCW2;G5E9G0;H7C3M2;H7C422;P39023,RL3_HUMAN,RPL3,60S ribosomal protein L3,15,935109,909943,923661,1613430,1280870,1531160
P13639,P13639,EF2_HUMAN,EEF2,Elongation factor 2,18,988757,1266990,1236040,1071900,1072720,1511530
P11717,P11717,MPRI_HUMAN,IGF2R,Cation-independent mannose-6-phosphate receptor,7,1304980,1783370,1792550,529484,1734050,
Q13185,Q13185,CBX3_HUMAN,CBX3,Chromobox protein homolog 3,7,927851,957493,935955,1281910,1925400,1077950
Q9HCS7,Q9HCS7,SYF1_HUMAN,XAB2,Pre-mRNA-splicing factor SYF1,28,1516110,1607910,1330350,960724,712322,945339
P62491;P62491-2;Q15907;Q15907-2,B4DQU5;H3BMH2;H3BSC1;P62491-2;Q15907-2;P62491;Q15907,RB11A-2_HUMAN;RB11A_HUMAN;RB11B-2_HUMAN;RB11B_HUMAN,RAB11A;RAB11B,Ras-related protein Rab-11A,7,863065,1144570,1029780,1301280,1301320,1404580
Q9BYG3,C9J808;H7BZL0;Q9BYG3,MK67I_HUMAN,NIFK,MKI67 FHA domain-interacting nucleolar phosphoprotein,6,745692,870422,944330,1512500,1489450,1366230
Q05519;Q05519-2,Q05519-2;Q5T757;Q5T760;Q05519,SRS11-2_HUMAN;SRS11_HUMAN,SRSF11,Serine/arginine-rich splicing factor 11,5,1335210,1675270,1653660,870252,606056,721476
P31949,P31949,S10AB_HUMAN,S100A11,Protein S100-A11,3,973106,1334540,1433330,575675,912445,1628520
P19388,A0A087WVN5;A0A087WWX0;A0A0A0MQR7;P19388,RPAB1_HUMAN,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",6,1016440,757842,672045,1502230,1562170,1330010
Q96NC0,R4GNG8;Q96NC0,ZMAT2_HUMAN,ZMAT2,Zinc finger matrin-type protein 2,7,1272910,863928,825229,1235010,1661940,959191
O60508,Q5SRN1;O60508,PRP17_HUMAN,CDC40,Pre-mRNA-processing factor 17,19,1224630,1341540,1182240,1142870,965997,960354
P35637;P35637-2,H3BPE7;P35637-2;P35637,FUS-2_HUMAN;FUS_HUMAN,FUS,RNA-binding protein FUS,6,1107160,831645,860628,967610,1217020,1817920
Q92769;Q92769-3,Q92769-3;Q92769,HDAC2-3_HUMAN;HDAC2_HUMAN,HDAC2,Histone deacetylase 2,8,1386820,981819,1149890,1189280,816381,1247160
Q15424;Q15424-3;Q15424-4,Q15424-2;Q15424-3;Q15424-4;Q15424,SAFB1-3_HUMAN;SAFB1-4_HUMAN;SAFB1_HUMAN,SAFB,Scaffold attachment factor B1,21,1323030,1301030,1191720,1076390,927911,928678
Q9Y4Z0,M0QXB0;V9GZ56;Q9Y4Z0,LSM4_HUMAN,LSM4,U6 snRNA-associated Sm-like protein LSm4,5,1165280,972576,950113,1225430,890944,1526410
Q09161,Q09161,NCBP1_HUMAN,NCBP1,Nuclear cap-binding protein subunit 1,7,1186070,1654720,1347900,1011970,599057,927670
Q92522,Q92522,H1X_HUMAN,H1FX,Histone H1x,10,968928,851047,962249,1416730,1237890,1287290
P49862,P49862,KLK7_HUMAN,KLK7,Kallikrein-7,4,3033050,974007,1267260,188457,497710,761617
P01024,P01024,CO3_HUMAN,C3,Complement C3,4,924095,924255,853899,1590870,894551,1478050
Q9H0A0,A0A087WV29;Q9H0A0-2;Q9H0A0,NAT10_HUMAN,NAT10,RNA cytidine acetyltransferase,11,883805,960611,889763,1375040,1152390,1353970
Q96DR8,A0A087WWF8;F8VV13;Q96DR8,MUCL1_HUMAN,MUCL1,Mucin-like protein 1,2,804220,2996640,1403450,465259,168226,761163
Q07666;Q07666-2,O75525-2;Q07666-2;Q07666-3;O75525;Q07666;Q5VWX1,KHDR1-2_HUMAN;KHDR1_HUMAN,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",7,1443370,1099800,1152820,1153270,653350,1083110
Q9UHR5;Q9UHR5-2,J3QQJ0;Q9UHR5-2;Q9UHR5,S30BP-2_HUMAN;S30BP_HUMAN,SAP30BP,SAP30-binding protein,11,1347780,520936,796454,1243230,1645130,957068
Q8NF86,I3L3D7;Q8NF86,PRS33_HUMAN,PRSS33,Serine protease 33,1,1145510,1082190,1668730,1307060,,1289830
Q53F19,Q53F19-2;Q53F19,NCBP3_HUMAN,NCBP3,Nuclear cap-binding protein subunit 3,14,1025210,1078900,1012250,1071530,1331690,953360
Q14195;Q14195-2,Q14195-2;Q14195,DPYL3-2_HUMAN;DPYL3_HUMAN,DPYSL3,Dihydropyrimidinase-related protein 3,4,954320,606731,1379070,1179730,1270040,1071730
P27144,D3DQ64;P27144,KAD4_HUMAN,AK4,"Adenylate kinase 4, mitochondrial",5,1521100,864106,1377590,914883,913525,836281
P02787,P02787,TRFE_HUMAN,TF,Serotransferrin,27,1560530,1127900,762552,1266930,878323,825191
Q16610-2,Q16610-2;Q16610-4;Q16610,ECM1-2_HUMAN,ECM1,"Isoform of Q16610, Isoform 2 of Extracellular matrix protein 1",11,2143720,1367080,1262980,167179,657602,799530
Q9ULR0;Q9ULR0-1,Q9ULR0-1;Q9ULR0-2;Q9ULR0,ISY1-1_HUMAN;ISY1_HUMAN,ISY1,Pre-mRNA-splicing factor ISY1 homolog,12,1001020,1184760,841898,1074320,1285190,934014
O95232,D6RDI2;D6RHH0;J3KPP4;U3KQT3;O95232,LC7L3_HUMAN,LUC7L3,Luc7-like protein 3,15,1242080,1438980,1258080,1102650,691079,576947
Q7L190,Q7L190,DPPA4_HUMAN,DPPA4,Developmental pluripotency-associated protein 4,7,934070,808110,1031020,1247540,1269860,998374
O75342,A0A3B3IRK2;O75342,LX12B_HUMAN,ALOX12B,"Arachidonate 12-lipoxygenase, 12R-type",14,1866730,1509890,1190800,228546,461678,1011080
Q9BXP5;Q9BXP5-2;Q9BXP5-3;Q9BXP5-4,Q9BXP5-2;Q9BXP5-3;Q9BXP5-4;Q9BXP5,SRRT-2_HUMAN;SRRT-3_HUMAN;SRRT-4_HUMAN;SRRT_HUMAN,SRRT,Serrate RNA effector molecule homolog,24,1177040,1187030,1176610,969700,827671,928513
Q96SI9;Q96SI9-2,Q96SI9-2;Q96SI9,STRBP-2_HUMAN;STRBP_HUMAN,STRBP,Spermatid perinuclear RNA-binding protein,7,1309320,958048,1093110,1063890,820667,1003130
P29508,P29508-2;P29508,SPB3_HUMAN,SERPINB3,Serpin B3,10,1083190,1994210,1174520,413491,420382,1146410
P20700,A0A0D9SFE5;E9PBF6;P20700,LMNB1_HUMAN,LMNB1,Lamin-B1,26,1379130,780880,711000,1123120,1295270,942655
P63220,Q8WVC2;Q9BYK1;P63220,RS21_HUMAN,RPS21,40S ribosomal protein S21,2,1315870,797787,490591,1075470,959855,1542310
P61604,B8ZZL8;S4R3N1;P61604,CH10_HUMAN,HSPE1,"10 kDa heat shock protein, mitochondrial",6,1151610,1048240,800037,936863,740426,1500260
Q14980;Q14980-2;Q14980-5,A0A087WY61;H0YFY6;Q14980-2;Q14980-5;Q14980,NUMA1-2_HUMAN;NUMA1-5_HUMAN;NUMA1_HUMAN,NUMA1,Nuclear mitotic apparatus protein 1,4,1120960,470575,895795,1083830,935711,1634800
P36957,P36957-2;Q86SW4;P36957,ODO2_HUMAN,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",10,821637,906875,813442,1301950,1073170,1222810
P80723,P80723-2;P80723,BASP1_HUMAN,BASP1,Brain acid soluble protein 1,11,746814,969490,914869,1235160,820225,1442350
Q13243,B4DJK0;B4DUA4;G3V5K8;Q13243-2;Q13243-3;Q13243,SRSF5_HUMAN,SRSF5,Serine/arginine-rich splicing factor 5,7,1165200,1436300,944420,922719,975317,659112
P31151,P31151;Q86SG5,S10A7_HUMAN,S100A7,Protein S100-A7,4,546387,2049210,1030580,790838,90188.6,1460090
Q92979,A0A087WVM7;Q92979,NEP1_HUMAN,EMG1,Ribosomal RNA small subunit methyltransferase NEP1,5,588808,506900,515144,1289760,1616320,1442750
P50990,H7C4C8;P50990-2;P50990-3;P50990,TCPQ_HUMAN,CCT8,T-complex protein 1 subunit theta,11,924408,1059420,888327,1036160,906174,1052930
O43670;O43670-2;O43670-4,J3KS31;J3QRS9;O43670-2;O43670-3;O43670-4;X6R4W8;O43670,ZN207-2_HUMAN;ZN207-4_HUMAN;ZN207_HUMAN,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,5,1151040,920946,740859,752231,1201190,1063820
Q99848,H7C2Q8;Q99848,EBP2_HUMAN,EBNA1BP2,Probable rRNA-processing protein EBP2,8,612468,643507,848498,1293290,1108460,1295870
O75152,A0A1W2PPR9;A0A494C0C4;E9PBY7;E9PQ61;A0A1B0GTU1;O75152,ZC11A_HUMAN,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,23,1043530,993566,1262830,797439,845783,802239
P04040,P04040,CATA_HUMAN,CAT,Catalase,15,1578800,1360110,1234470,210291,582383,759636
P62873;P62873-2,B1AKQ8;C9JIS1;C9JXA5;C9JZN1;E7EP32;E9PCP0;F5H0S8;F5H100;F5H8J8;F6UT28;F6X3N5;P16520-2;P62873-2;P16520;P62873;P62879,GBB1-2_HUMAN;GBB1_HUMAN,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,5,1252840,942062,832750,977303,944334,746234
Q92841,A0A1W2PQ51;A0A1X7SBZ2;Q92841-1;Q92841-2;Q92841-3;Q92841,DDX17_HUMAN,DDX17,Probable ATP-dependent RNA helicase DDX17,20,947458,1190910,1203040,856956,595929,841932
P12273,P12273,PIP_HUMAN,PIP,Prolactin-inducible protein,5,722136,1851860,1612810,401337,221141,769228
Q8N257,P06899;P23527;P33778;Q16778;Q6DN03;Q6DRA6;Q8N257,H2B3B_HUMAN,HIST3H2BB,Histone H2B type 3-B,2,1488090,684507,796758,652125,651066,1275270
Q9NWT1,Q9NWT1,PK1IP_HUMAN,PAK1IP1,p21-activated protein kinase-interacting protein 1,7,769773,808900,948798,1071580,820331,1083290
P10412,P10412,H14_HUMAN,HIST1H1E,Histone H1.4,1,514474,362413,929465,1307960,1130820,1208660
Q86YP4;Q86YP4-3,C9JGN4;C9JHD7;C9JJK9;C9JMI3;C9JVY3;H7C3H1;Q86YP4-2;Q86YP4-3;V9GY85;V9GYX5;Q86YP4,P66A-3_HUMAN;P66A_HUMAN,GATAD2A,Transcriptional repressor p66-alpha,16,853163,540197,805932,1022870,1008110,1221490
P02452,P02452,CO1A1_HUMAN,COL1A1,Collagen alpha-1(I) chain,3,467364,675579,2096790,359506,969501,870711
Q8NAV1,Q8NAV1,PR38A_HUMAN,PRPF38A,Pre-mRNA-splicing factor 38A,8,1273610,1344140,1202810,661594,391239,525503
Q96PK6,Q96PK6,RBM14_HUMAN,RBM14,RNA-binding protein 14,19,887997,656760,676866,988008,1158760,1014170
P29966,P29966,MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate,6,1035210,624219,625636,930159,1092120,1066380
Q9NX58,Q9NX58,LYAR_HUMAN,LYAR,Cell growth-regulating nucleolar protein,6,687439,794450,735330,975989,1230180,904318
P68371,P68371,TBB4B_HUMAN,TUBB4B,Tubulin beta-4B chain,4,843496,871231,1051120,887538,820771,849021
Q9H6F5,Q9H6F5-2;Q9H6F5,CCD86_HUMAN,CCDC86,Coiled-coil domain-containing protein 86,7,679048,564848,561361,1646600,754054,1114710
P62937,C9J5S7;F8WE65;P62937,PPIA_HUMAN,PPIA,Peptidyl-prolyl cis-trans isomerase A,7,838608,840242,691025,975424,857583,1095630
Q96RM1,P22531;Q96RM1,SPR2F_HUMAN,SPRR2F,Small proline-rich protein 2F,2,623268,1420830,1428000,,792755,1033290
Q9BPW8,C9JDV8;H7C2U6;Q9BPW8,NIPS1_HUMAN,NIPSNAP1,Protein NipSnap homolog 1,5,1090980,1120120,1055480,862167,443062,706286
P61586,P61586,RHOA_HUMAN,RHOA,Transforming protein RhoA,4,730892,814899,917970,940961,1102250,757401
Q15050,Q15050,RRS1_HUMAN,RRS1,Ribosome biogenesis regulatory protein homolog,9,671500,638199,593877,1174270,975109,1184120
P06753-2;P06753-3;P06753-6,A0A087WWU8;A0A494C0P6;J3KN67;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P06753-7;Q5HYB6;P06753,TPM3-2_HUMAN;TPM3-3_HUMAN;TPM3-6_HUMAN,TPM3,"Isoform of P06753, Isoform 2 of Tropomyosin alpha-3 chain",10,723629,856663,759276,671626,940044,1280710
Q96QA5,J3KRG2;Q96QA5,GSDMA_HUMAN,GSDMA,Gasdermin-A,12,1528730,1402460,880262,154374,158560,1050040
P08572,P08572,CO4A2_HUMAN,COL4A2,Collagen alpha-2(IV) chain,5,892510,541374,1094040,1057440,1197160,387737
P35030;P35030-2;P35030-3;P35030-4;P35030-5,B1AN99;P35030-2;P35030-3;P35030-4;P35030-5;P35030,TRY3-2_HUMAN;TRY3-3_HUMAN;TRY3-4_HUMAN;TRY3-5_HUMAN;TRY3_HUMAN,PRSS3,Trypsin-3,1,455025,871043,1389770,638774,1065600,709561
P84101;P84101-4,B8ZZY7;B9A031;C9JQZ0;F8WBN3;F8WBV6;P84101-2;P84101-3;P84101-4;P84101,SERF2-4_HUMAN;SERF2_HUMAN,SERF2,Small EDRK-rich factor 2,3,1217440,558305,1064290,615494,512423,1157900
Q9BPU6,E7EWB4;Q9BPU6,DPYL5_HUMAN,DPYSL5,Dihydropyrimidinase-related protein 5,1,615967,849804,772706,931328,754921,1174070
Q9Y3C1,A0A087X2G6;A0A0C4DGU5;D6RIC3;Q9Y3C1-2;Q9Y3C1-3;Q9Y3C1,NOP16_HUMAN,NOP16,Nucleolar protein 16,7,645025,765340,739777,1039730,805588,1049580
Q86WX3,Q86WX3,AROS_HUMAN,RPS19BP1,Active regulator of SIRT1,4,914252,541568,638727,957645,964347,1019780
Q9UIG0;Q9UIG0-2,Q9UIG0-2;Q9UIG0,BAZ1B-2_HUMAN;BAZ1B_HUMAN,BAZ1B,Tyrosine-protein kinase BAZ1B,3,874718,686497,1136200,1003570,607168,721665
Q13330;Q13330-3,E7ESY4;Q13330-2;Q13330-3;Q13330,MTA1-3_HUMAN;MTA1_HUMAN,MTA1,Metastasis-associated protein MTA1,23,784841,885381,855374,829261,603157,1069930
P04080,P04080,CYTB_HUMAN,CSTB,Cystatin-B,2,542659,492965,636399,1054350,772533,1488060
P55145,A8K878;P55145,MANF_HUMAN,MANF,Mesencephalic astrocyte-derived neurotrophic factor,9,766712,581155,728169,713010,776606,1379890
P08238,P07900-2;P07900;P08238;Q14568;Q58FF8,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta,18,790152,878986,911114,900986,555578,903761
P46777,A0A2R8Y6J3;P46777,RL5_HUMAN,RPL5,60S ribosomal protein L5,10,680595,603927,417527,1246380,965259,1018870
Q96I24,Q96I24-2;Q96I24,FUBP3_HUMAN,FUBP3,Far upstream element-binding protein 3,21,1025340,879653,1194550,701169,579108,538188
E9PK54,E9PK54,E9PK54_HUMAN,HSPA8,"Isoform of P11142, Heat shock cognate 71 kDa protein (Fragment)",1,1385150,1391080,514512,,,1613630
P62304,P62304,RUXE_HUMAN,SNRPE,Small nuclear ribonucleoprotein E,2,572774,586799,846436,831841,1368630,689985
Q09666,Q09666,AHNK_HUMAN,AHNAK,Neuroblast differentiation-associated protein AHNAK,51,575446,773747,700386,784814,1476350,584681
Q9BWF3,D6R9K7;E9PB51;E9PLB0;E9PM61;J3QRR5;Q9BWF3-2;Q9BWF3-3;Q9BWF3-4;U3KQD5;Q9BQ04;Q9BWF3,RBM4_HUMAN,RBM4,RNA-binding protein 4,15,805122,835916,878807,795817,732976,807275
Q9P1Y6;Q9P1Y6-3,A0A0J9YWD5;A0A0J9YX88;A0A0J9YYB5;B7ZM65;E9PJ24;F8WEF5;Q9P1Y6-2;Q9P1Y6-3;Q9P1Y6,PHRF1-3_HUMAN;PHRF1_HUMAN,PHRF1,PHD and RING finger domain-containing protein 1,18,890577,911218,1293030,741995,587669,430039
Q05BV3;Q05BV3-5,Q05BV3-5;H0YJS1;Q05BV3,EMAL5-5_HUMAN;EMAL5_HUMAN,EML5,Echinoderm microtubule-associated protein-like 5,1,825172,752374,,1238970,957231,1078720
P68400,A0A2R8Y3W6;A0A2R8Y4D6;A0A2R8Y4H0;A0A2R8Y5A0;A0A2R8Y797;A0A2R8Y7T1;A0A2R8YCK2;A0A2R8YD58;A0A2R8YDP2;A0A2R8YDY7;A0A2R8YEL7;A0A2R8YEW1;A0A2R8YF43;A0A2R8YF47;A0A2R8YFU2;E7EU96;V9GY80;V9GYA2;P68400;Q8NEV1,CSK21_HUMAN,CSNK2A1,Casein kinase II subunit alpha,7,1053410,923775,940728,565685,737912,625603
P49006,P49006,MRP_HUMAN,MARCKSL1,MARCKS-related protein,4,715850,721392,549514,768200,746095,1338570
Q9UKD2,Q9UKD2,MRT4_HUMAN,MRTO4,mRNA turnover protein 4 homolog,10,351906,285364,232863,1354320,1491850,1105660
Q99536,K7ESA3;Q99536-2;Q99536-3;Q99536,VAT1_HUMAN,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,9,1063630,669759,884613,926391,865813,364497
Q5SSJ5;Q5SSJ5-2,Q5SSJ5-2;Q5SSJ5-3;Q5SSJ5,HP1B3-2_HUMAN;HP1B3_HUMAN,HP1BP3,Heterochromatin protein 1-binding protein 3,6,653362,514493,588312,1115150,990014,859929
Q9UBS4,Q9UBS4,DJB11_HUMAN,DNAJB11,DnaJ homolog subfamily B member 11,10,837234,782506,810848,760713,795321,725990
Q12874,Q12874,SF3A3_HUMAN,SF3A3,Splicing factor 3A subunit 3,13,1064250,990022,1150870,617301,428097,453223
O60333;O60333-2;O60333-4,A0A087WWA3;A0A0U1RQL3;O60333-2;O60333-4;Q4R9M9;O60333,KIF1B-2_HUMAN;KIF1B-4_HUMAN;KIF1B_HUMAN,KIF1B,Kinesin-like protein KIF1B,2,1625050,883982,1338450,69173.6,,782997
O75683,O75683,SURF6_HUMAN,SURF6,Surfeit locus protein 6,6,732342,688874,746756,957366,841121,712518
Q13838;Q13838-2,A0A0A0MT12;A0A0G2JJL7;A0A0G2JJZ9;A0A140T973;A0A140T996;A0A140T9K1;A0A140T9K2;A0A140T9L4;A0A140T9N3;A0A140T9X3;A0A140T9X9;A0A140TA18;F6QYI9;F6R6M7;F6S4E6;F6TRA5;F6UJC5;F6WLT2;Q13838-2;Q5STU3;Q13838,DX39B-2_HUMAN;DX39B_HUMAN,DDX39B,Spliceosome RNA helicase DDX39B,4,1183600,900474,901683,580193,593890,505102
P22735,H0YLT9;P22735-2;P22735,TGM1_HUMAN,TGM1,Protein-glutamine gamma-glutamyltransferase K,23,1178630,1143870,894068,154178,468391,805145
P82932,P82932,RT06_HUMAN,MRPS6,"28S ribosomal protein S6, mitochondrial",4,444728,584450,689044,813404,1223780,878972
O15297,O15297,PPM1D_HUMAN,PPM1D,Protein phosphatase 1D,3,864146,614831,783193,829789,745006,791503
Q8IZQ5,A0A087WYP2;H0YE28;Q8IZQ5,SELH_HUMAN,SELENOH,Selenoprotein H,5,530995,277930,249311,1065920,1567740,928711
P10515,E9PEJ4;H0YDD4;P10515,ODP2_HUMAN,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",9,549437,557853,487919,1043400,1004310,965846
A0A0C4DH55;P01624,A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624,KV315_HUMAN;KVD07_HUMAN,IGKV3-15;IGKV3D-7,Immunoglobulin kappa variable 3D-7,1,628763,1000210,553799,957327,471715,995885
Q9BRJ6,C9JQV0;Q9BRJ6,CG050_HUMAN,C7orf50,Uncharacterized protein C7orf50,8,300371,417947,297984,1060470,1355650,1152310
Q96AE4;Q96AE4-2,C9JSZ1;E9PEB5;Q96AE4-2;Q96AE4,FUBP1-2_HUMAN;FUBP1_HUMAN,FUBP1,Far upstream element-binding protein 1,12,540921,646746,834147,670473,939107,942349
Q9UBC3;Q9UBC3-2;Q9UBC3-6,Q9UBC3-2;Q9UBC3-3;Q9UBC3-4;Q9UBC3-5;Q9UBC3-6;Q9UBC3-7;Q9UBC3-8;Q9UBC3,DNM3B-2_HUMAN;DNM3B-6_HUMAN;DNM3B_HUMAN,DNMT3B,DNA (cytosine-5)-methyltransferase 3B,8,631632,689561,572687,918473,906090,852918
Q8NEF9,Q8NEF9,SRFB1_HUMAN,SRFBP1,Serum response factor-binding protein 1,7,405307,334657,512159,943842,1300860,1071100
P01857,A0A0A0MS07;A0A0A0MS08;P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,7,535736,1781540,733075,279547,633137,601320
P28072,A0A087X2I4;I3L3X7;P28072,PSB6_HUMAN,PSMB6,Proteasome subunit beta type-6,5,998163,899499,809688,414555,595276,828469
P19784,H3BNI9;P19784,CSK22_HUMAN,CSNK2A2,Casein kinase II subunit alpha',4,878257,951958,949489,700075,381855,677334
P49756,H0YE46;P49756-2;P49756-3;P49756,RBM25_HUMAN,RBM25,RNA-binding protein 25,20,1009220,1016480,827121,714176,470799,478930
P61981,P61981,1433G_HUMAN,YWHAG,14-3-3 protein gamma,4,646637,696529,480908,837967,953650,813394
Q9UBB9,H0Y4U8;Q9UBB9,TFP11_HUMAN,TFIP11,Tuftelin-interacting protein 11,25,795097,853559,866891,745505,535290,607259
P53999,P53999,TCP4_HUMAN,SUB1,Activated RNA polymerase II transcriptional coactivator p15,3,741887,274769,544356,1031540,571391,1230530
P10606,P10606,COX5B_HUMAN,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",6,744641,1024150,498027,472059,649363,992515
Q9BVA1,Q13885;Q9BVA1,TBB2B_HUMAN,TUBB2B,Tubulin beta-2B chain,4,678515,685046,805213,810491,587877,805115
Q92879;Q92879-2;Q92879-3;Q92879-4;Q92879-5;Q92879-6,E9PKA1;E9PKU1;E9PQK4;E9PSH0;F5H0D8;F5H4Y5;G5EA30;Q92879-2;Q92879-3;Q92879-4;Q92879-5;Q92879-6;Q92879,CELF1-2_HUMAN;CELF1-3_HUMAN;CELF1-4_HUMAN;CELF1-5_HUMAN;CELF1-6_HUMAN;CELF1_HUMAN,CELF1,CUGBP Elav-like family member 1,6,826704,677245,753525,844120,584277,668383
Q5T200,A0A0A0MTS7;H7C1P9;Q5T200-2;Q8WZ42-11;Q8WZ42-12;Q8WZ42-13;Q8WZ42-2;Q8WZ42-4;Q8WZ42-5;Q8WZ42-7;Q8WZ42-8;Q5T200;Q8WZ42,ZC3HD_HUMAN,ZC3H13,Zinc finger CCCH domain-containing protein 13,25,668987,793581,749775,759432,778104,584466
Q8WUQ7;Q8WUQ7-2,K7EIU6;K7ENY9;Q8WUQ7-2;Q8WUQ7,CATIN-2_HUMAN;CATIN_HUMAN,CACTIN,Cactin,3,308648,544480,2764640,83361.4,,617075
A0A0B4J2D5;P0DPI2,A0A096LNH5;A0A096LNJ1;A0A096LP12;A0A096LP73;A0A0B4J2D5-2;A0A0B4J2H4;A0A2R8Y6K9;A0A2R8YDR7;F2Z2Q0;H7C1F6;H7C2G3;P0DPI2-2;A0A096LPI6;A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3A;GATD3B,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",4,676734,443978,742888,806499,817103,807986
O15235,O15235,RT12_HUMAN,MRPS12,"28S ribosomal protein S12, mitochondrial",3,910928,470612,434258,1061630,776704,635620
Q16531,F5GWI0;F5GY55;F5GYG8;F5GZY8;F5H2L3;Q16531,DDB1_HUMAN,DDB1,DNA damage-binding protein 1,24,561878,583975,603526,912652,796163,790662
Q96I25,Q96I25,SPF45_HUMAN,RBM17,Splicing factor 45,12,837654,668843,1078580,665546,550789,435561
Q9H2H8,B8ZZ77;H7BZ14;Q9H2H8-2;Q9H2H8,PPIL3_HUMAN,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,8,599220,737648,481288,720836,938963,757273
O75367;O75367-2;O75367-3,O75367-2;O75367-3;O75367,H2AY-2_HUMAN;H2AY-3_HUMAN;H2AY_HUMAN,H2AFY,Core histone macro-H2A.1,4,792209,612526,470647,842037,600854,912226
Q8IYK4,A0A3B3IT37;Q5SXQ3;Q8IYK4,GT252_HUMAN,COLGALT2,Procollagen galactosyltransferase 2,1,937303,935749,1097420,614348,397984,246504
