Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,NanogAbk_1,NanogAbk_2,NanogAbk_3,NanogBock_1,NanogBock_2,NanogBock_3,TBPAbk_1,TBPAbk_2,TBPAbk_3,TBPBock_1,TBPBock_2,TBPBock_3
P37198,P37198,NUP62_HUMAN,NUP62,4,Nuclear pore glycoprotein p62,828879,785168,953100,469586,413112,387315,678712,332168,567210,599026,326264,667203
Q9NPJ8;Q9NPJ8-2;Q9NPJ8-3;Q9UKK6,Q9NPJ8-2;Q9NPJ8-3;Q9NPJ8;Q9UKK6,NXT1_HUMAN;NXT2-2_HUMAN;NXT2-3_HUMAN;NXT2_HUMAN,NXT1;NXT2,2,NTF2-related export protein 2,846320,910061,788797,526823,442586,314608,487363,484930,451468,561060,599558,591334
P07858,E9PCB3;E9PHZ5;E9PJ67;E9PKQ7;E9PLY3;E9PNL5;E9PQM1;E9PR54;E9PS78;E9PSG5;P07858,CATB_HUMAN,CTSB,6,Cathepsin B,517944,426303,411703,795248,316516,158629,336928,674659,320156,427467,1228420,1381790
Q9UHX1-2,A0A0J9YVP6;A0A0J9YVR6;A0A0J9YWM1;A0A0J9YXJ8;A0A0J9YXX5;A0A0J9YYL3;E9PL19;E9PMU7;E9PN18;E9PQ56;H0YEM1;Q9UHX1-2;Q9UHX1-3;Q9UHX1-4;Q9UHX1-5;Q9UHX1-6;Q9UHX1,PUF60-2_HUMAN,PUF60,15,"Isoform of Q9UHX1, Isoform 2 of Poly(U)-binding-splicing factor PUF60",651903,562666,649762,424594,435142,356517,734037,568431,635252,564287,703253,693843
Q13813;Q13813-2;Q13813-3,A0A0D9SF54;A0A0D9SFF6;A0A0D9SGF6;A0A1B0GTB7;Q13813-2;Q13813-3;Q13813,SPTN1-2_HUMAN;SPTN1-3_HUMAN;SPTN1_HUMAN,SPTAN1,15,"Spectrin alpha chain, non-erythrocytic 1",435692,434731,450476,499803,1074480,893039,411205,420050,588732,550644,761283,427479
O75436,O75436-2;S4R3Q6;O75436,VP26A_HUMAN,VPS26A,8,Vacuolar protein sorting-associated protein 26A,660203,607091,694934,779341,604732,,797591,562592,549698,370198,673028,622935
Q9Y3C1,A0A087X2G6;A0A0C4DGU5;D6RIC3;Q9Y3C1-2;Q9Y3C1-3;Q9Y3C1,NOP16_HUMAN,NOP16,6,Nucleolar protein 16,643995,613591,620337,714945,499358,414036,658101,704886,617423,369726,646467,403491
Q9Y3D3,Q9Y3D3,RT16_HUMAN,MRPS16,3,"28S ribosomal protein S16, mitochondrial",547384,614035,560788,566654,532605,543241,491751,570450,594317,700929,567192,578661
P17900,E5RJD0;H0YBY3;P17900,SAP3_HUMAN,GM2A,5,Ganglioside GM2 activator,414366,120417,222217,976949,302035,,245469,459679,77576.7,827209,1549460,1668050
P11279,P11279,LAMP1_HUMAN,LAMP1,2,Lysosome-associated membrane glycoprotein 1,434133,164942,217133,1558180,731520,186244,266575,501108,189128,520193,1375820,682168
Q14197,J3KS15;Q14197,ICT1_HUMAN,MRPL58,8,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",713455,788432,717455,503337,529674,535264,568900,668957,563614,443778,397044,369660
Q8N163;Q8N163-2,A0A087X2B6;G3V119;H0YB24;Q8N163-2;Q8N163,CCAR2-2_HUMAN;CCAR2_HUMAN,CCAR2,15,Cell cycle and apoptosis regulator protein 2,603677,588325,599095,623030,552208,704893,465319,468095,488265,549493,574390,573784
Q8TF66;Q8TF66-2,Q8TF66-2;Q8TF66,LRC15-2_HUMAN;LRC15_HUMAN,LRRC15,10,Leucine-rich repeat-containing protein 15,178280,371275,3669480,2570390,,,,,,,,
O43760;O43760-2,K7ELD9;K7ELS8;K7ENG9;O43760-2;O43760,SNG2-2_HUMAN;SNG2_HUMAN,SYNGR2,3,Synaptogyrin-2,515456,447951,278943,1301520,580392,,305640,567718,,647842,1255810,841698
O43324;O43324-2,D6RBD7;D6RCQ0;H0YAL7;O43324-2;C9J1V9;O43324,MCA3-2_HUMAN;MCA3_HUMAN,EEF1E1,1,Eukaryotic translation elongation factor 1 epsilon-1,372923,427093,375308,458716,533710,,540565,657382,737057,944962,915213,779256
P02795;P13640;P13640-2;P80297,P13640-2;P02795;P04732;P13640;P80297;Q8N339,MT1G-2_HUMAN;MT1G_HUMAN;MT1X_HUMAN;MT2_HUMAN,MT1G;MT1X;MT2A,2,Metallothionein-2,289780,456654,297035,484617,770860,617135,708162,1072330,836752,342057,562985,293203
Q9NVS2;Q9NVS2-2,Q5QPA5;Q9NVS2-2;Q9NVS2,RT18A-2_HUMAN;RT18A_HUMAN,MRPS18A,7,"39S ribosomal protein S18a, mitochondrial",698577,727415,686164,366159,465398,491133,659509,662026,607195,477019,378366,508270
Q9UBB9,H0Y4U8;Q9UBB9,TFP11_HUMAN,TFIP11,19,Tuftelin-interacting protein 11,488747,517033,540353,567219,629088,610384,512818,522139,556672,611158,582723,585540
Q5SSJ5,B0QZK4;Q5SSJ5-2;Q5SSJ5-3;Q5SWC8;X6RGJ2;Q5SSJ5,HP1B3_HUMAN,HP1BP3,12,Heterochromatin protein 1-binding protein 3,628426,654020,616100,392025,412489,453419,614714,646329,604229,535819,551150,609565
Q02809;Q02809-2,Q02809-2;Q5JXB7;Q5JXB8;Q02809,PLOD1-2_HUMAN;PLOD1_HUMAN,PLOD1,13,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",859631,778720,879888,410531,455414,450921,593604,504916,496527,339669,473020,420181
P61106,X6RFL8;P61106,RAB14_HUMAN,RAB14,4,Ras-related protein Rab-14,577424,557129,451532,664012,258681,460380,442315,467761,351526,681792,829784,906553
P26196,P26196,DDX6_HUMAN,DDX6,9,Probable ATP-dependent RNA helicase DDX6,790223,780510,773455,608803,347732,456155,678772,471616,558896,431754,402410,335824
Q5TAX3;Q5TAX3-2,A0A0C4DFM7;E9PKX1;E9PKY2;Q5TAX3-2;Q5TAX3,TUT4-2_HUMAN;TUT4_HUMAN,TUT4,1,Terminal uridylyltransferase 4,777861,638359,815797,542651,483044,,628680,499507,554454,545129,566172,564643
O75367;O75367-2;O75367-3,O75367-2;O75367-3;O75367,H2AY-2_HUMAN;H2AY-3_HUMAN;H2AY_HUMAN,H2AFY,3,Core histone macro-H2A.1,585367,651465,600538,560661,592015,,577939,803374,653300,491233,560960,529345
O75635;O75635-2,A0A1B0GX82;C9JA68;C9JM00;O75635-2;O75635,SPB7-2_HUMAN;SPB7_HUMAN,SERPINB7,4,Serpin B7,435471,120028,212675,1295330,574238,90649.3,168456,303803,134481,574374,2191730,498771
Q9UNQ2,A0A0C4DGB1;A0A494C0G7;D6RCL3;Q9UNQ2,DIM1_HUMAN,DIMT1,10,Probable dimethyladenosine transferase,693711,723420,679752,720827,516491,348468,668219,510588,385286,344513,489953,513984
P48444,B0YIW6;Q6P1Q5;P48444,COPD_HUMAN,ARCN1,13,Coatomer subunit delta,559899,522544,577211,483831,399135,300551,693519,652949,555243,555210,623787,654247
P30048;P30048-2,P30048-2;P30048,PRDX3-2_HUMAN;PRDX3_HUMAN,PRDX3,6,"Thioredoxin-dependent peroxide reductase, mitochondrial",772643,789123,719905,511480,447031,365599,577075,586003,658862,365332,412771,354974
P06396;P06396-2;P06396-3;P06396-4,A0A0A0MS51;A0A0A0MT01;P06396-2;P06396-3;P06396-4;P06396,GELS-2_HUMAN;GELS-3_HUMAN;GELS-4_HUMAN;GELS_HUMAN,GSN,10,Gelsolin,491870,391025,472604,496408,494572,246764,613259,626350,621555,602901,647098,835485
Q9BYJ1;Q9BYJ1-2,J3KPH2;Q9BYJ1-2;Q9BYJ1,LOXE3-2_HUMAN;LOXE3_HUMAN,ALOXE3,8,Hydroperoxide isomerase ALOXE3,660901,154916,239479,1549510,690011,,234908,461448,127252,467048,1490730,459316
O75934,O75934,SPF27_HUMAN,BCAS2,7,Pre-mRNA-splicing factor SPF27,630038,683255,647658,544177,565970,700382,492846,503857,472072,467364,355744,433460
A6NHR9,A6NHR9-2;A6NHR9-3;J3KTL8;A6NHR9,SMHD1_HUMAN,SMCHD1,24,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,640729,529826,603752,667168,789381,,524741,514190,436039,671489,574474,542673
Q13263,Q13263-2;Q13263,TIF1B_HUMAN,TRIM28,11,Transcription intermediary factor 1-beta,583116,562620,572146,444287,453720,458518,635883,537769,616597,515108,534630,554515
O00487,O00487,PSDE_HUMAN,PSMD14,4,26S proteasome non-ATPase regulatory subunit 14,596520,527285,588917,323657,430351,,740731,557255,735568,477092,731125,754986
P42357,F8VNX0;F8W0V1;P42357-2;Q4VB95;P42357,HUTH_HUMAN,HAL,9,Histidine ammonia-lyase,460822,97777.8,231386,1808400,676513,221014,264826,451147,188894,521364,1137900,391615
P10515,E9PEJ4;H0YDD4;P10515,ODP2_HUMAN,DLAT,10,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",753403,692875,780901,471046,464093,520144,586047,479402,545544,278286,526397,353312
Q9Y312,A2A2Q9;Q9Y312,AAR2_HUMAN,AAR2,4,Protein AAR2 homolog,608291,568971,589849,349535,354636,282938,708266,602065,663039,564385,543164,606030
P82664,P82664,RT10_HUMAN,MRPS10,3,"28S ribosomal protein S10, mitochondrial",692537,756724,689999,581011,470271,388418,728776,478802,330075,310377,457991,526222
P36873;P36873-2,A0A087WYY5;F8VR82;F8VYE8;F8W0W8;P36873-2;P36873,PP1G-2_HUMAN;PP1G_HUMAN,PPP1CC,3,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,604006,642618,592209,327259,500930,,645241,801902,670464,450974,564511,605427
Q9BRJ6,C9JQV0;H7C0T1;H7C2R9;Q9BRJ6,CG050_HUMAN,C7orf50,6,Uncharacterized protein C7orf50,286309,347192,269918,152620,360488,847069,581433,827736,960445,677170,653524,438950
Q96L92;Q96L92-3,A0A2R8Y3S6;A0A2R8Y8A7;Q96L92-2;Q96L92-3;Q96L92,SNX27-3_HUMAN;SNX27_HUMAN,SNX27,7,Sorting nexin-27,600024,590493,624000,524856,483163,579426,608386,642385,480212,448462,382844,432418
P0DP23;P0DP24;P0DP25,E7EMB3;E7ETZ0;G3V226;G3V361;H0Y7A7;Q96HY3;P0DP23;P0DP24;P0DP25,CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN,CALM1;CALM2;CALM3,3,Calmodulin-1,333966,271714,259993,1090380,504963,,443404,566697,504875,755373,830427,834273
P08754,A0A3B3ITM0;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6;P38405-3;P63096-2;A8MTJ3;P04899;P08754;P11488;P19087;P63096,GNAI3_HUMAN,GNAI3,4,Guanine nucleotide-binding protein G(k) subunit alpha,695116,569800,595559,570079,608087,,561135,479815,509205,585676,660189,546009
Q14331,E9PRR7;Q14331,FRG1_HUMAN,FRG1,7,Protein FRG1,434733,525119,446346,851152,675333,555000,372180,526326,432836,499166,506177,554478
Q9Y580,F5GXV8;F5GY08;J3KPD3;I3L521;Q9Y580,RBM7_HUMAN,RBM7,6,RNA-binding protein 7,533403,624392,554243,645628,654221,581078,491500,447242,310670,392494,561942,567775
P0DMV8;P0DMV8-2;P0DMV9,A0A0G2JIW1;P0DMV8-2;Q53FA3;V9GZ37;P0DMV8;P0DMV9;P34931,HS71A-2_HUMAN;HS71A_HUMAN;HS71B_HUMAN,HSPA1A;HSPA1B,12,Heat shock 70 kDa protein 1A,512077,443688,544879,489099,357913,213013,570982,538593,527224,713211,648265,802384
P48637,A0A2R8Y430;A0A2R8Y5T7;A0A2R8Y6Q7;A0A2R8Y7I7;P48637-2;P48637,GSHB_HUMAN,GSS,9,Glutathione synthetase,561069,467746,438323,466475,433938,,687497,746053,627816,508257,813372,599808
Q9Y3A2,Q9Y3A2,UTP11_HUMAN,UTP11,6,Probable U3 small nucleolar RNA-associated protein 11,700291,670223,788766,373337,148263,526036,782803,781824,470022,349469,446767,290673
O95926,O95926-2;O95926,SYF2_HUMAN,SYF2,5,Pre-mRNA-splicing factor SYF2,1024090,994539,1173550,386971,164739,,775919,576601,479130,,251578,479425
P04181,P04181,OAT_HUMAN,OAT,7,"Ornithine aminotransferase, mitochondrial",739044,731435,759805,487242,504359,646783,557476,616345,588029,157763,206371,304419
Q14155-1;Q14155-5,A0A2R8YG42;B1ALK7;E9PDQ5;Q14155-1;Q14155-2;Q14155-3;Q14155-5;Q14155-6;Q14155,ARHG7-1_HUMAN;ARHG7-5_HUMAN,ARHGEF7,17,"Isoform of Q14155, Isoform 1 of Rho guanine nucleotide exchange factor 7",509416,444844,528687,386631,360890,344119,654166,589168,612302,627521,607882,599342
Q9BSJ8;Q9BSJ8-2,Q9BSJ8-2;Q9BSJ8,ESYT1-2_HUMAN;ESYT1_HUMAN,ESYT1,6,Extended synaptotagmin-1,714708,765961,876005,463930,351045,,535088,580202,347452,319214,709634,597733
P34897;P34897-3,G3V241;G3V2E4;G3V2W0;G3V3Y8;G3V4T0;G3V4W5;G3V4X0;G3V540;G3V5L0;P34897-2;P34897-3;P34897,GLYM-3_HUMAN;GLYM_HUMAN,SHMT2,13,"Serine hydroxymethyltransferase, mitochondrial",904204,936173,888399,485120,477798,609756,451607,386963,490825,205103,206539,152420
P03973,P03973,SLPI_HUMAN,SLPI,3,Antileukoproteinase,63193.9,,236023,2321690,1185690,,100264,420828,370639,395446,580491,512548
Q9UNM6;Q9UNM6-2,A0A087WUL9;E9PL38;H0YD73;J3KNQ3;Q9UNM6-2;Q9UNM6,PSD13-2_HUMAN;PSD13_HUMAN,PSMD13,13,26S proteasome non-ATPase regulatory subunit 13,527618,474489,515754,468519,462312,387920,641362,510404,522629,480867,577720,612180
P46778,G3V1B3;M0R181;P46778,RL21_HUMAN,RPL21,5,60S ribosomal protein L21,466686,462045,563530,545254,474655,,729800,780543,651492,291152,542875,662051
P11182,P11182,ODB2_HUMAN,DBT,7,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",581186,636067,558563,480398,494107,614074,450866,460684,427295,467433,449330,529442
P08729,P08729,K2C7_HUMAN,KRT7,14,"Keratin, type II cytoskeletal 7",596386,566890,612773,459122,514377,464233,543565,461733,380618,497052,562717,489690
Q8IW75,Q8IW75,SPA12_HUMAN,SERPINA12,10,Serpin A12,430516,103980,156734,1304670,771703,,143794,372100,,642463,1784890,435457
P49821;P49821-2,B4DE93;E9PJL9;E9PLC6;E9PMX3;E9PPD6;E9PPR0;E9PQP1;G3V0I5;P49821-2;P49821,NDUV1-2_HUMAN;NDUV1_HUMAN,NDUFV1,4,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",821400,343075,506661,1511430,1570830,,417767,538361,,,,420341
Q09666,Q09666,AHNK_HUMAN,AHNAK,33,Neuroblast differentiation-associated protein AHNAK,412295,235925,276267,1154120,429841,209374,278290,418308,177669,460286,1231320,845390
P51659,A0A2R8Y7L2;A0A2R8YD50;A0A2R8YF39;E7EPL9;E7ET17;E7EWE5;G5E9S2;P51659-2;P51659-3;P51659,DHB4_HUMAN,HSD17B4,14,Peroxisomal multifunctional enzyme type 2,717453,629513,725802,530314,412144,357283,508661,445538,344622,388911,509097,555986
P52756,P98175-2;P98175-3;P98175-4;P98175-5;P52756;P98175,RBM5_HUMAN,RBM5,12,RNA-binding protein 5,483339,495851,487867,742953,616032,465006,372258,351432,333053,583996,559272,623438
Q02487-2,A0A3B3ISU0;Q02487-2;Q02487,DSC2-2_HUMAN,DSC2,1,"Isoform of Q02487, Isoform 2B of Desmocollin-2",402312,642010,445321,897128,619797,,419925,611191,594819,420265,557868,503271
Q8NBS9;Q8NBS9-2,Q8NBS9-2;Q8NBS9,TXND5-2_HUMAN;TXND5_HUMAN,TXNDC5,7,Thioredoxin domain-containing protein 5,626400,687929,614508,571039,471868,418454,603201,580804,504477,284830,328857,399809
K7EMS3,K7EMS3,K7EMS3_HUMAN,KRT19,1,"Isoform of P08727, Keratin, type I cytoskeletal 19 (Fragment)",338259,330453,241128,1712850,453684,,197423,453181,,,1853080,510723
P51572;P51572-2,A0A2R8Y5M6;C9J0M4;C9JMD7;C9JQ75;C9JSP1;P51572-2;P51572,BAP31-2_HUMAN;BAP31_HUMAN,BCAP31,6,B-cell receptor-associated protein 31,642922,596691,596827,572212,206998,,792123,785929,775093,329371,397175,393909
P55265;P55265-4;P55265-5,A0A3B3IRQ9;H0YCK3;P55265-2;P55265-3;P55265-4;P55265-5;P55265,DSRAD-4_HUMAN;DSRAD-5_HUMAN;DSRAD_HUMAN,ADAR,20,Double-stranded RNA-specific adenosine deaminase,437829,420642,439865,589141,557997,589499,347805,335454,377272,645912,657236,676779
Q14974,J3QR48;Q14974,IMB1_HUMAN,KPNB1,4,Importin subunit beta-1,725686,664341,722713,260912,318592,,662362,554414,408254,538982,532014,683412
Q10570,A0A087X101;Q10570,CPSF1_HUMAN,CPSF1,25,Cleavage and polyadenylation specificity factor subunit 1,492488,470672,508841,572230,582506,602564,337149,329527,320637,610130,621658,620162
Q16851,A0A087WYS1;E7EUC7;Q16851-2;Q16851,UGPA_HUMAN,UGP2,17,UTP--glucose-1-phosphate uridylyltransferase,586392,550016,624641,335547,306686,377820,634907,574555,640414,439933,465172,487810
P33176,A0A0G2JMZ6;J3KNA1;O60282-2;O60282;P33176;Q12840,KINH_HUMAN,KIF5B,27,Kinesin-1 heavy chain,463161,412295,487821,374081,363089,300063,528639,488119,458933,670215,699530,775811
O75964,A0A3B3ITX4;E9PN17;O75964,ATP5L_HUMAN,ATP5MG,3,"ATP synthase subunit g, mitochondrial",532731,589270,565665,657136,366064,,580649,475703,699087,599396,406909,531696
P46783,A0A2R8Y7H1;A0A2R8YFH6;F6U211;S4R435;A0A1W2PQS6;P46783,RS10_HUMAN,RPS10,7,40S ribosomal protein S10,581278,572391,542867,321237,226408,,909981,775613,778233,292627,585663,415810
P25398,P25398,RS12_HUMAN,RPS12,4,40S ribosomal protein S12,1066510,693824,1182080,351136,187115,,715972,466783,364073,,447805,511001
Q8WWM7,H3BSK9;H3BUF6;Q8WWM7-2;Q8WWM7-3;Q8WWM7-4;Q8WWM7-5;Q8WWM7-6;Q8WWM7-8;Q8WWM7-9;Q8WWM7,ATX2L_HUMAN,ATXN2L,15,Ataxin-2-like protein,474436,512107,492679,377652,217055,276989,620201,609452,658756,590809,537128,618425
P48556,K7EJC1;K7EJR3;K7ERW6;R4GMR5;P48556,PSMD8_HUMAN,PSMD8,5,26S proteasome non-ATPase regulatory subunit 8,668629,467833,727223,246457,263763,166280,706652,517453,560940,437666,595216,608539
Q8NAV1,Q8NAV1,PR38A_HUMAN,PRPF38A,7,Pre-mRNA-splicing factor 38A,661868,662817,643686,453402,465701,,342539,543450,393760,583944,658821,523775
O43464,A0A0C4DG44;O43464-2;O43464-3;O43464,HTRA2_HUMAN,HTRA2,3,"Serine protease HTRA2, mitochondrial",533357,792599,546019,496483,380493,240862,723420,610836,341316,212314,505542,535931
P29401;P29401-2,A0A0B4J1R6;P29401-2;P29401,TKT-2_HUMAN;TKT_HUMAN,TKT,3,Transketolase,375516,243877,358104,920120,683483,,375492,380775,507701,652049,843985,565021
Q9P1Y6;Q9P1Y6-3,A0A0J9YWD5;A0A0J9YX88;A0A0J9YYB5;B7ZM65;E9PJ24;F8WEF5;Q9P1Y6-2;Q9P1Y6-3;Q9P1Y6,PHRF1-3_HUMAN;PHRF1_HUMAN,PHRF1,14,PHD and RING finger domain-containing protein 1,481296,519625,484918,453338,583319,846924,356568,416792,350556,491845,412247,464287
Q8NI27,A0A0C4DG98;H0Y815;Q8NI27,THOC2_HUMAN,THOC2,14,THO complex subunit 2,449222,430113,471713,779424,707441,685337,249361,219950,294341,547409,467223,535389
Q02978,I3L1P8;Q02978-2;Q02978,M2OM_HUMAN,SLC25A11,10,Mitochondrial 2-oxoglutarate/malate carrier protein,525964,502426,507336,305002,407751,570388,430415,422397,476352,469759,596948,595403
P42704,A0A0C4DG06;B8ZZ38;C9JCA9;P42704,LPPRC_HUMAN,LRPPRC,36,"Leucine-rich PPR motif-containing protein, mitochondrial",756523,790647,764819,445318,488191,479916,510126,491162,464590,142767,235340,238613
Q6UN15-3,Q6UN15-3;Q6UN15-4;Q6UN15-5;A0A0B4J203;Q6UN15,FIP1-3_HUMAN,FIP1L1,6,"Isoform of Q6UN15, Isoform 3 of Pre-mRNA 3'-end-processing factor FIP1",455954,476307,466582,505360,465801,529423,377747,424352,354791,628004,494647,590320
A0A3B3ISR4,A0A3B3ISR4,A0A3B3ISR4_HUMAN,ITPR1,1,"Isoform of Q14643, Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",601955,102701,187110,945987,535818,250460,213494,337066,160854,599795,1435500,397168
Q9NYL9,Q9NYL9,TMOD3_HUMAN,TMOD3,10,Tropomodulin-3,660553,571151,642659,271528,230236,,761850,573951,649840,377772,417872,595371
Q9P0M9,D6RAN8;H7C5U8;Q9P0M9,RM27_HUMAN,MRPL27,2,"39S ribosomal protein L27, mitochondrial",576955,558114,603517,413839,418479,479719,563378,493184,534895,348443,322760,436528
P49406,A0A0A0MRF4;S4R3W9;P49406,RM19_HUMAN,MRPL19,6,"39S ribosomal protein L19, mitochondrial",629402,613028,625270,409108,349856,442221,492004,590206,615701,386384,299930,284629
Q6E0U4-16;Q6E0U4-2;Q6E0U4-5;Q6E0U4-6,Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7;Q6E0U4,DMKN-16_HUMAN;DMKN-2_HUMAN;DMKN-5_HUMAN;DMKN-6_HUMAN,DMKN,4,"Isoform of Q6E0U4, Isoform 16 of Dermokine",497850,230422,254390,1079120,805174,378737,210498,348213,244844,583497,656551,426647
Q2Q1W2,Q2Q1W2,LIN41_HUMAN,TRIM71,8,E3 ubiquitin-protein ligase TRIM71,553636,541803,617986,374398,481659,481937,441542,469470,541823,261392,422164,498316
Q05682;Q05682-2;Q05682-3;Q05682-4;Q05682-5;Q05682-6,C9J813;E7EX44;E9PGZ1;Q05682-2;Q05682-3;Q05682-4;Q05682-5;Q05682-6;Q05682,CALD1-2_HUMAN;CALD1-3_HUMAN;CALD1-4_HUMAN;CALD1-5_HUMAN;CALD1-6_HUMAN;CALD1_HUMAN,CALD1,12,Caldesmon,222167,291917,253923,339868,254613,299700,676604,789193,798299,581177,613680,563321
P08123,A0A087WTA8;P08123,CO1A2_HUMAN,COL1A2,5,Collagen alpha-2(I) chain,,371626,,719123,627746,,245848,334299,,3370680,,
P04792,F8WE04;P04792,HSPB1_HUMAN,HSPB1,7,Heat shock protein beta-1,319949,340401,309262,807805,494699,350607,310370,342999,406583,598122,636190,726461
P63220,Q8WVC2;Q9BYK1;P63220,RS21_HUMAN,RPS21,2,40S ribosomal protein S21,403142,465121,460244,260991,242496,141747,796937,768248,741959,493641,440671,426587
P14868,P14868-2;P14868,SYDC_HUMAN,DARS,17,"Aspartate--tRNA ligase, cytoplasmic",443128,431510,471971,445213,495476,316170,456002,358994,400631,557466,570387,690559
Q9P2I0,Q9P2I0,CPSF2_HUMAN,CPSF2,9,Cleavage and polyadenylation specificity factor subunit 2,495593,397092,490317,783111,543830,,327942,358744,337399,574107,696002,612418
P27144,D3DQ64;P27144,KAD4_HUMAN,AK4,5,"Adenylate kinase 4, mitochondrial",744844,743797,658668,371316,369395,409603,484226,501329,562539,232525,260479,270835
Q92979,A0A087WVM7;Q92979,NEP1_HUMAN,EMG1,4,Ribosomal RNA small subunit methyltransferase NEP1,710096,542317,739640,509202,273276,346739,395230,346214,249125,,1348350,137435
P18206;P18206-2,P18206-2;P18206,VINC-2_HUMAN;VINC_HUMAN,VCL,11,Vinculin,412299,134130,212505,994162,525386,,170898,327161,231196,549860,1280720,745638
P08670,A0A1B0GTT5;B0YJC4;P08670;P17661,VIME_HUMAN,VIM,20,Vimentin,578205,568113,564939,294067,297602,87457.4,527249,431011,527765,1367580,130525,176455
O15234,J3KSY7;O15234,CASC3_HUMAN,CASC3,9,Protein CASC3,373207,406514,399742,316697,332643,193298,686988,786391,657618,405216,526520,465129
Q15008,Q15008-2;Q15008-3;Q15008-4;Q15008,PSMD6_HUMAN,PSMD6,13,26S proteasome non-ATPase regulatory subunit 6,687675,646622,680624,352465,364245,,590861,502990,411717,452331,464647,385092
Q9H875;Q9H875-2,E9PC43;Q9H875-2;Q9H875,PKRI1-2_HUMAN;PKRI1_HUMAN,PRKRIP1,3,PRKR-interacting protein 1,294568,325824,251801,281889,406045,540113,443811,603618,529410,671992,414240,762437
P98175-5,P98175-2;P98175-3;P98175-4;P98175-5;P98175,RBM10-5_HUMAN,RBM10,13,"Isoform of P98175, Isoform 5 of RNA-binding protein 10",412528,424962,448391,522551,521566,510576,331647,323764,314957,528302,570084,591819
P82675,P82675,RT05_HUMAN,MRPS5,11,"28S ribosomal protein S5, mitochondrial",527161,525506,483132,550004,530256,504795,354215,413354,399174,394158,414744,401238
P23280;P23280-2,F8W148;P23280-2;Q8N4G4;P23280,CAH6-2_HUMAN;CAH6_HUMAN,CA6,1,Carbonic anhydrase 6,,,,,2965620,,,,2531040,,,
Q5BKZ1,A0A0A0MRN4;Q5BKZ1-3;Q5BKZ1,ZN326_HUMAN,ZNF326,10,DBIRD complex subunit ZNF326,440984,438075,463967,556232,638840,409936,301650,323687,191671,511745,656759,558312
Q9UPN4;Q9UPN4-2,I3L2J8;Q9UPN4-2;Q9UPN4-3;Q9UPN4,CP131-2_HUMAN;CP131_HUMAN,CEP131,17,Centrosomal protein of 131 kDa,595067,624568,626796,816206,707391,435351,220436,299166,154356,321807,501473,188862
Q16630;Q16630-2;Q16630-3,F8WJN3;Q16630-2;Q16630-3;Q16630,CPSF6-2_HUMAN;CPSF6-3_HUMAN;CPSF6_HUMAN,CPSF6,4,Cleavage and polyadenylation specificity factor subunit 6,509898,583754,499492,303588,278916,296630,682189,701264,504342,352180,378134,401025
P52292,P52292,IMA1_HUMAN,KPNA2,9,Importin subunit alpha-1,556611,549684,559921,362852,348668,,598453,527727,669378,515306,339505,451814
Q8N684;Q8N684-2;Q8N684-3,F5H047;F5H669;F5H6M0;J3QT54;Q8N684-2;Q8N684-3;Q8N684,CPSF7-2_HUMAN;CPSF7-3_HUMAN;CPSF7_HUMAN,CPSF7,7,Cleavage and polyadenylation specificity factor subunit 7,314084,368013,345367,,234181,414639,707237,732372,760613,566153,451152,578729
Q9H0U6,Q9H0U6,RM18_HUMAN,MRPL18,4,"39S ribosomal protein L18, mitochondrial",664487,672468,649729,532649,387632,392654,475593,439004,379526,252593,299352,320272
P08559;P08559-2;P08559-3;P08559-4,P08559-2;P08559-3;P08559-4;P08559,ODPA-2_HUMAN;ODPA-3_HUMAN;ODPA-4_HUMAN;ODPA_HUMAN,PDHA1,12,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",778744,731283,764938,446202,470275,,462776,510531,526123,201424,307233,259758
P29034,R4GN49;P29034,S10A2_HUMAN,S100A2,2,Protein S100-A2,,,,420761,,,125684,659911,,216290,3550670,423745
Q14151,Q14151,SAFB2_HUMAN,SAFB2,13,Scaffold attachment factor B2,471832,526959,507516,524652,468586,564594,457314,443940,421089,269290,359667,381514
Q9Y291,C9JBY7;Q9Y291,RT33_HUMAN,MRPS33,3,"28S ribosomal protein S33, mitochondrial",591191,577241,573369,434654,488496,,721283,576092,213024,214580,457348,516679
Q9Y337,Q9Y337,KLK5_HUMAN,KLK5,3,Kallikrein-5,458479,,133420,887403,478206,182332,125632,242952,106263,677708,1767330,297735
Q6I9Y2,A0A024R341;F8WF22;Q6I9Y2,THOC7_HUMAN,THOC7,7,THO complex subunit 7 homolog,467756,405044,576421,437312,382982,474397,356459,358948,371743,507113,570296,440087
