Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
P26196,P26196,DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6,22,3863550,4030750,3950170,4703040,4484940,4466690,3320440,4130510,4181350,4253750,4364920,4354210
P26232-3,A0A0A0MRI5;A0A0A0MTJ6;P26232-2;P26232-3;P26232-4;P26232-5;P26232-6;P26232,CTNA2-3_HUMAN,CTNNA2,"Isoform of P26232, Isoform 3 of Catenin alpha-2",1,,,,,,,630800,,,,,
P26358,P26358-2;P26358-3;P26358,DNMT1_HUMAN,DNMT1,DNA (cytosine-5)-methyltransferase 1,29,2225100,2119910,2110580,1966240,1960260,1960390,1881660,2028790,1949360,1922190,1865470,1861150
P26368;P26368-2,K7ELP8;P26368-2;P26368,U2AF2-2_HUMAN;U2AF2_HUMAN,U2AF2,Splicing factor U2AF 65 kDa subunit,17,7316850,7167380,7254380,11027500,10763900,9546950,6610240,7848080,7572980,10508200,10347700,10647800
P26373,H3BUK8;J3KS98;P26373-2;P26373,RL13_HUMAN,RPL13,60S ribosomal protein L13,17,41666200,42104800,43147100,43639900,43293300,43066500,35554300,40286000,40818700,37387100,35781300,36621000
P26440,A0A0A0MT83;H0YKV0;H0YLC3;H0YN10;H7C4G6;P26440-2;P26440,IVD_HUMAN,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",14,4059690,3805140,3794550,3863350,3758450,3980850,5225600,4696550,4557050,4201610,4140060,4354040
P26572,D6RF69;P26572,MGAT1_HUMAN,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",9,1238120,1069250,1131800,1043920,984405,959740,895514,1065290,1032420,1104870,1066560,1050990
P26583,D6R9A6;P26583,HMGB2_HUMAN,HMGB2,High mobility group protein B2,6,3237820,3453810,3214030,3447390,3707770,3700700,2167740,2541900,2404450,2203290,2456930,2115620
P26599;P26599-2;P26599-3,A0A0D9SF20;A0A0U1RRM4;A6NLN1;P26599-2;P26599-3;P26599,PTBP1-2_HUMAN;PTBP1-3_HUMAN;PTBP1_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,20,21978100,22640400,22843100,28827000,29303000,28428000,28223800,32426100,31564000,36252000,35288200,36394600
P26639,P26639-2;P26639,SYTC_HUMAN,TARS,"Threonine--tRNA ligase, cytoplasmic",33,5141050,4806040,4969200,4880000,4951820,4693260,4176620,4323990,4466780,3553310,3525280,3525300
P26640,A0A140T936;A0A140T954;P26640,SYVC_HUMAN,VARS,Valine--tRNA ligase,42,4500000,4844440,4709980,4768290,4773840,4674040,3337940,3065250,3060740,2637070,2785900,2686450
P26641;P26641-2,P26641-2;P26641,EF1G-2_HUMAN;EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,25,16052700,15455600,15292200,16863600,16979400,16659000,17180400,17093100,16391200,13608400,14207300,14018500
P26885,A0A494C1N0;P26885,FKBP2_HUMAN,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,6,13699500,12184600,13902400,11573900,11423200,10348800,9662270,12020100,12367200,9800950,8048300,8096650
P27105,P27105-2;P27105,STOM_HUMAN,STOM,Erythrocyte band 7 integral membrane protein,13,2392320,2289150,2438650,1603480,1574960,1544240,5269010,6213250,6466680,6037430,6311340,5964950
P27144,D3DQ64;P27144,KAD4_HUMAN,AK4,"Adenylate kinase 4, mitochondrial",14,24481100,25212400,24804800,24376800,24776900,24802500,32522900,28206000,27357600,25163200,25074500,25920500
P27348,E9PG15;P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,12,11993700,12244000,10859400,11769500,12213600,7768750,4053560,8670690,8943090,6093690,6287030,5992250
P27361,E9PBK7;E9PJF0;E9PQW4;P27361-2;P27361-3;P27361,MK03_HUMAN,MAPK3,Mitogen-activated protein kinase 3,4,620264,666241,557052,592883,633997,525956,472680,557075,604584,503649,465786,412271
P27448-8,A0A0A0MSZ1;A2SY06;H0YIY6;H0YKP9;J3KNR0;P27448-2;P27448-3;P27448-4;P27448-6;P27448-7;P27448-8;P27448,MARK3-8_HUMAN,MARK3,"Isoform of P27448, Isoform 7 of MAP/microtubule affinity-regulating kinase 3",9,1193100,1215380,1044410,955723,887714,913224,546587,1063880,936486,844344,627583,775537
P27449,P27449,VATL_HUMAN,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit,1,,,,1500810,1321730,1673890,362699,2195460,2360660,1986050,1979830,2001650
P27482,P27482,CALL3_HUMAN,CALML3,Calmodulin-like protein 3,5,,,,77964.4,,,,,,,2515480,
P27544;P27544-2,P27544-2;P27544,CERS1-2_HUMAN;CERS1_HUMAN,CERS1,Ceramide synthase 1,2,1134270,976472,956164,1143130,1101080,1205740,1014140,822321,954206,1051810,1094860,823137
P27635,A0A087WV22;F8W7C6;H7C123;H7C2C5;X1WI28;P27635;Q96L21,RL10_HUMAN,RPL10,60S ribosomal protein L10,12,15936300,16877800,16670500,14130600,13932900,12221000,9973680,13597100,12428800,9950660,9834150,9944820
P27694,I3L4R8;P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,26,4178530,4423720,4230320,4802940,4858030,5184320,4850140,4916480,5236010,4364880,4354120,4412350
P27695,G3V359;G3V3C7;G3V3M6;G3V5M0;P27695,APEX1_HUMAN,APEX1,DNA-(apurinic or apyrimidinic site) lyase,17,6351380,6329950,5890290,6944260,7034790,6816630,2628090,4534350,4694570,5730490,5688260,6067840
P27707,D6RCP9;D6RFG8;P27707,DCK_HUMAN,DCK,Deoxycytidine kinase,2,146121,210131,203192,262274,215389,209531,72713.9,,147817,,102483,
P27708,F8VPD4;H7C2E4;P27708,PYR1_HUMAN,CAD,CAD protein,70,7691530,7744570,7783920,6861990,6837780,6580230,5352750,5043280,5095360,4078640,4242530,4126750
P27797,K7EJB9;P27797,CALR_HUMAN,CALR,Calreticulin,18,43885900,48299300,45040100,45205400,43730000,44737200,32569000,67123500,67106500,60489700,56361100,58914300
P27816,E7EVA0;P27816-2;P27816-6;P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,47,4987950,5013380,4774660,4979710,5069190,5208550,4794710,5591240,5693900,3726680,3616280,3665760
P27816-4,B5MEG9;E7EVA0;P27816-4,MAP4-4_HUMAN,MAP4,"Isoform of P27816, Isoform 4 of Microtubule-associated protein 4",4,388422,380510,,374714,,463378,483451,762277,762100,458021,480268,449466
P27824;P27824-2,D6RAU8;D6RB85;D6RDP7;H0Y9Q7;P27824-2;P27824,CALX-2_HUMAN;CALX_HUMAN,CANX,Calnexin,32,26285300,27637700,25444200,23472600,23188700,24920800,25125700,32184200,32839200,29436800,30728400,30027500
P28062;P28062-2,P28062-2;X5D2R7;P28062,PSB8-2_HUMAN;PSB8_HUMAN,PSMB8,Proteasome subunit beta type-8,1,104483,120828,109695,188745,167870,230465,,116483,142677,64768.7,272289,50955.1
P28066,P28066-2;P28066,PSA5_HUMAN,PSMA5,Proteasome subunit alpha type-5,11,5455730,6170690,5961620,7816760,7978770,7538550,7261330,7626840,7540460,7335950,7735600,7469590
P28070,P28070,PSB4_HUMAN,PSMB4,Proteasome subunit beta type-4,5,3472300,3569690,3563280,4169690,4487760,4348960,3721250,4508890,4278790,4423860,5381290,4595680
P28072,A0A087X2I4;I3L3X7;P28072,PSB6_HUMAN,PSMB6,Proteasome subunit beta type-6,7,7003930,7188140,6909780,8516520,8426860,8747150,8275420,8570150,8776570,8581860,9523880,8484910
P28074,P28074-3;P28074,PSB5_HUMAN,PSMB5,Proteasome subunit beta type-5,15,5224750,4958500,5137610,6647390,5989450,6045220,6318570,5996860,5915550,6294100,6738650,6349630
P28161;P28161-2,A0A0A0MR85;B9ZVX7;E7EWW9;E9PHN6;E9PHN7;E9PLF1;F6XZQ7;H3BQT3;P09488-2;P28161-2;Q03013-2;Q03013-3;P09488;P28161;Q03013,GSTM2-2_HUMAN;GSTM2_HUMAN,GSTM2,Glutathione S-transferase Mu 2,3,265500,306975,263233,261265,217407,379450,301231,,222014,,169903,189378
P28288,P28288-2;P28288,ABCD3_HUMAN,ABCD3,ATP-binding cassette sub-family D member 3,12,1443520,1455920,1400200,712709,803620,887185,671354,831251,837249,845462,828564,796519
P28331;P28331-2,C9JPQ5;P28331-2;P28331-4;P28331,NDUS1-2_HUMAN;NDUS1_HUMAN,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",32,6952280,6794930,7081800,5689890,5853240,5720420,7479400,6816170,6919310,6487610,6373780,6332120
P28340,A0A2R8Y7K6;M0QZR8;M0R2B7;P28340,DPOD1_HUMAN,POLD1,DNA polymerase delta catalytic subunit,19,7861440,8010460,8511400,7581140,7963370,7209540,7527010,6318040,7073880,6417080,6232440,6632830
P28370,A0A0A0MRP6;B7ZLQ5;P28370-2;P28370,SMCA1_HUMAN,SMARCA1,Probable global transcription activator SNF2L1,21,2645530,2491540,2505770,2332390,2467760,2394270,1944990,1819230,1898520,1970730,2068580,1935150
P28472;P28472-2;P28472-3;P28472-4,A0A1B0GU30;A0A1B0GVW3;F5H7N0;P28472-2;P28472-3;P28472-4;P28472,GBRB3-2_HUMAN;GBRB3-3_HUMAN;GBRB3-4_HUMAN;GBRB3_HUMAN,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,4,988926,1070050,1000620,730506,724879,909006,565157,724669,747116,581700,564145,523716
P28482,P28482-2;P28482,MK01_HUMAN,MAPK1,Mitogen-activated protein kinase 1,15,2743400,2736290,2627530,2472940,2579340,2470380,2472230,2495500,2509440,2032670,2105230,2039690
P28676,H7BXD5;H7C2Z6;P28676,GRAN_HUMAN,GCA,Grancalcin,3,849304,967196,968396,901578,834289,898821,581866,557728,549258,394557,399903,445324
P28702;P28702-3,A0A0G2JKR7;P28702-3;P28702,RXRB-3_HUMAN;RXRB_HUMAN,RXRB,Retinoic acid receptor RXR-beta,2,389384,368517,323889,451400,544369,446163,,398623,232736,273429,257676,
P28799,K7EQ05;P28799-2;P28799-3;P28799,GRN_HUMAN,GRN,Progranulin,17,4290830,3908550,3938580,3615190,3227690,2527470,4302420,4771440,3905990,4025860,2916790,3522450
P28838;P28838-2,P28838-2;P28838,AMPL-2_HUMAN;AMPL_HUMAN,LAP3,Cytosol aminopeptidase,31,5048240,4973530,5085540,5261390,5245190,5109290,5241760,5210670,5215520,4430640,4334520,4407730
P28908,P28908-3;P28908,TNR8_HUMAN,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,3,508189,426288,462132,477072,518455,545720,315496,622451,768671,584108,,495474
P29034,R4GN49;P29034,S10A2_HUMAN,S100A2,Protein S100-A2,2,,,,,,,,,,,1538500,
P29083,C9IYL4;P29083,T2EA_HUMAN,GTF2E1,General transcription factor IIE subunit 1,6,558714,657417,597939,604678,620255,693183,1031700,698716,537991,601407,577174,786784
P29084,P29084,T2EB_HUMAN,GTF2E2,Transcription initiation factor IIE subunit beta,3,140877,187202,156215,184966,199968,229022,272563,168320,198886,276861,242720,220229
P29144,A0A494C0U1;A0A494C1B8;A0A494C1S4;Q5VZU9;P29144,TPP2_HUMAN,TPP2,Tripeptidyl-peptidase 2,44,2459690,2476550,2465250,2582710,2658840,2513690,1759670,2225710,2281380,1952130,2012500,1848340
P29218;P29218-3,E5RG94;E5RGY4;E5RHE9;E5RI82;E5RIF4;E5RIP7;H0YBL1;P29218-2;P29218-3;P29218,IMPA1-3_HUMAN;IMPA1_HUMAN,IMPA1,Inositol monophosphatase 1,10,1923510,1928480,1866120,1862930,1970990,1868410,1702890,1776930,1766960,1422460,1543530,1384600
P29279,P29279-2;P29279,CCN2_HUMAN,CCN2,CCN family member 2,9,192760,206193,331559,,,,1206740,1489080,1308250,1341980,1173170,1161990
P29317,P29317-2;P29317,EPHA2_HUMAN,EPHA2,Ephrin type-A receptor 2,17,1964500,1944730,2073930,1664050,1750380,1678500,2154480,2346070,2393270,2062750,2218490,2209680
P29323;P29323-2;P29323-3,A0A3B3IRY8;B1AKC9;P29323-2;P29323-3;P54762-5;P29323;P54762,EPHB2-2_HUMAN;EPHB2-3_HUMAN;EPHB2_HUMAN,EPHB2,Ephrin type-B receptor 2,2,993391,864314,959580,788784,776550,798013,,849612,887144,726047,641617,678618
P29350;P29350-2;P29350-3;P29350-4,P29350-2;P29350-3;P29350-4;P29350,PTN6-2_HUMAN;PTN6-3_HUMAN;PTN6-4_HUMAN;PTN6_HUMAN,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,1,187435,167713,,133912,116387,171026,,176427,93254.9,,113243,
P29353;P29353-2;P29353-6;P29353-7,H0Y539;P29353-2;P29353-3;P29353-5;P29353-6;P29353-7;X6R6D0;P29353,SHC1-2_HUMAN;SHC1-6_HUMAN;SHC1-7_HUMAN;SHC1_HUMAN,SHC1,SHC-transforming protein 1,6,873132,862607,1004340,899728,976656,923609,604755,780662,823586,647125,660750,604526
P29372;P29372-2;P29372-4;P29372-5,A2IDA3;P29372-2;P29372-4;P29372-5;P29372,3MG-2_HUMAN;3MG-4_HUMAN;3MG-5_HUMAN;3MG_HUMAN,MPG,DNA-3-methyladenine glycosylase,6,1103010,981737,1040360,1204320,1365770,1276280,1140720,1162560,1114750,1475800,1421260,1428270
P29373,Q5SYZ4;P29373,RABP2_HUMAN,CRABP2,Cellular retinoic acid-binding protein 2,8,2355810,2492170,2348770,2517970,2554480,2522750,683989,803343,720688,631951,954754,481904
P29374;P29374-2;P29374-3,C9J1W3;P29374-2;P29374-3;P29374,ARI4A-2_HUMAN;ARI4A-3_HUMAN;ARI4A_HUMAN,ARID4A,AT-rich interactive domain-containing protein 4A,2,,349462,467875,394181,358720,468699,538818,401047,414941,401489,422471,370582
P29375-2,E7EV89;P29375-2;P29375,KDM5A-2_HUMAN,KDM5A,"Isoform of P29375, Isoform 2 of Lysine-specific demethylase 5A",1,373370,555886,384026,265758,,334420,732170,,,436740,,564420
P29401;P29401-2,E9PFF2;P29401-2;P29401,TKT-2_HUMAN;TKT_HUMAN,TKT,Transketolase,31,20386900,21311300,20542700,21322400,21453800,21122400,17878900,19057900,18936300,14600100,14260600,14789900
P29508,P29508-2;P29508,SPB3_HUMAN,SERPINB3,Serpin B3,23,431177,,,307902,,,283001,283160,,389189,24752200,583605
P29558;P29558-2,E7ETU5;F6Y5H0;P29558-2;P29558,RBMS1-2_HUMAN;RBMS1_HUMAN,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",4,1020270,1268490,1216160,1066940,1093830,978830,978880,1228770,1055510,900911,729560,783473
P29590;P29590-2;P29590-3;P29590-4;P29590-5;P29590-8;P29590-9,H3BT57;P29590-10;P29590-11;P29590-12;P29590-13;P29590-14;P29590-2;P29590-3;P29590-4;P29590-5;P29590-8;P29590-9;P29590,PML-2_HUMAN;PML-3_HUMAN;PML-4_HUMAN;PML-5_HUMAN;PML-8_HUMAN;PML-9_HUMAN;PML_HUMAN,PML,Protein PML,12,1116180,1044910,1074390,1108300,1150870,1122850,1064150,1217690,1160130,1171760,1175660,1132510
P29692-3,E9PL71;E9PN91;P29692-3,EF1D-3_HUMAN,EEF1D,"Isoform of P29692, Isoform 3 of Elongation factor 1-delta",1,233771,151617,212055,226104,214335,275077,95376.6,378213,485144,271131,353973,286280
P29692;P29692-2,A0A087X1X7;E9PK01;E9PQZ1;E9PRY8;H0YE58;H0YE72;P29692-2;P29692-3;P29692-4;P29692,EF1D-2_HUMAN;EF1D_HUMAN,EEF1D,Elongation factor 1-delta,15,13747100,13528800,13732200,15131800,15308600,14445600,14197600,15561300,15166800,11830800,12157300,12158500
P29762,B5MCB5;P29762,RABP1_HUMAN,CRABP1,Cellular retinoic acid-binding protein 1,13,20434800,20984100,21360900,19782300,20053000,19593100,7514620,8721880,8806910,6429930,6247650,6346820
P29966,P29966,MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate,11,7811150,8212160,7616560,9025050,8759240,9571710,4742360,8281700,7851680,9652900,8403930,8216900
P29992,K7EL62;P29992,GNA11_HUMAN,GNA11,Guanine nucleotide-binding protein subunit alpha-11,9,2307270,2333260,2484200,1904950,2028130,1916880,2213400,2057470,2210010,1851360,2000330,1894360
P30038,P30038-2;P30038-3;P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",17,5209290,5250440,5089460,4866240,5214860,5008570,4712940,4788460,4857780,4802580,4810920,4772020
P30040,F8VY02;P30040,ERP29_HUMAN,ERP29,Endoplasmic reticulum resident protein 29,16,27337100,27308700,27611500,26697400,28162400,27196600,44157500,46207300,46456100,39692800,39448400,39055400
P30041,P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,23,15966400,16625400,15854500,16965700,16808700,17982600,16774300,15887800,15641500,11630900,12199000,11624100
P30043,A0A2R8Y7Y9;A0A2R8YEP4;M0QZL1;M0R192;P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),7,2689590,2248880,2286180,2246580,2436100,2431200,3048650,3111580,3139070,2097350,2438640,2627540
P30044;P30044-2,P30044-2;P30044-3;P30044,PRDX5-2_HUMAN;PRDX5_HUMAN,PRDX5,"Peroxiredoxin-5, mitochondrial",11,9819220,9272560,9828820,9610260,9713190,9787580,10419200,12507400,12506000,10966200,9489620,10417200
P30046,B5MC82;J3KQ18;P30046-2;A6NHG4;P30046,DOPD_HUMAN,DDT,D-dopachrome decarboxylase,9,5028610,5793780,5614980,5937360,6017550,5770870,5657300,5649300,5461130,4229400,4106800,4413560
P30047;P30047-2,H0YNX7;P30047-2;P30047,GFRP-2_HUMAN;GFRP_HUMAN,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,1,,,260098,277771,332386,204802,,,,154338,168642,137389
P30048;P30048-2,P30048-2;P30048,PRDX3-2_HUMAN;PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",10,26382800,28398300,28142400,29402900,30350900,30793800,46057600,39131200,39509900,37779900,37994100,38355600
P30049,P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial",2,25402300,23641800,22975000,21611800,21891400,20888600,20274800,22176200,20446300,19962300,21312400,21732700
P30050,P30050,RL12_HUMAN,RPL12,60S ribosomal protein L12,11,22751100,22515700,21809100,23312100,24605800,23892000,21863600,25418000,25317100,21510600,21510200,21028700
P30084,P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",18,6531710,6633280,6627390,7297580,6882930,7051140,6939900,7571830,7643450,6842690,6845450,6860360
P30085,P30085-3;Q5T0D2;P30085,KCY_HUMAN,CMPK1,UMP-CMP kinase,11,1603420,1671680,1865210,1494590,1501920,1501300,1387490,1286090,1279170,1021230,986498,970273
P30086,P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,9,15707100,14216300,15085300,14563500,13805200,12884600,9542760,12200000,12709600,8984690,8424480,8486940
P30101,P30101,PDIA3_HUMAN,PDIA3,Protein disulfide-isomerase A3,39,36730400,37983300,37459700,35436800,35833600,35964000,41601500,43074000,44024900,38473200,36357000,37231100
P30153,B3KQV6;P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,25,7622150,7338710,7780710,7125120,7274450,7156030,5899460,6810650,7004630,5491450,5417450,5252370
P30154-3,P30154-2;P30154-3;P30154-4;P30154-5;P30154,2AAB-3_HUMAN,PPP2R1B,"Isoform of P30154, Isoform 3 of Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform",8,1017200,1197020,1049810,970180,957568,886156,682208,640368,596456,429242,598293,529684
P30260;P30260-2,E9PRZ6;F6QPS0;G5EA36;I3L3H6;K7EMA6;P30260-2;P30260,CDC27-2_HUMAN;CDC27_HUMAN,CDC27,Cell division cycle protein 27 homolog,7,729742,866060,845451,786727,929067,880044,821756,933417,955201,913153,1110990,996145
P30291;P30291-2,E9PRU3;P30291-2;P30291,WEE1-2_HUMAN;WEE1_HUMAN,WEE1,Wee1-like protein kinase,2,192178,238410,,302886,202299,189825,174531,269763,257289,316857,218096,288411
P30307;P30307-2;P30307-3;P30307-4,A0A3B3IT42;D6RD20;D6RJC2;P30307-2;P30307-3;P30307-4;P30307,MPIP3-2_HUMAN;MPIP3-3_HUMAN;MPIP3-4_HUMAN;MPIP3_HUMAN,CDC25C,M-phase inducer phosphatase 3,1,186103,,361652,,,131884,,,189091,,,
P30405,H0Y548;P30405-2;R4GN99;P30405,PPIF_HUMAN,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",11,7945420,8285840,8113030,8681280,8975420,8170360,10292000,10759200,11093100,10406600,9715460,10294300
P30414,A0A087WYW3;P30414,NKTR_HUMAN,NKTR,NK-tumor recognition protein,16,850654,803986,747470,1165110,1126290,1134880,822174,810990,765881,1040280,1078610,998309
P30419,P30419-2;Q5VUC6;O60551;P30419,NMT1_HUMAN,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,11,1968920,1952190,1881310,2077370,2082720,2073780,1343240,1630100,1633530,1177130,1293390,1258940
P30504,P30504,1C04_HUMAN,HLA-C,"Isoform of Q95604, HLA class I histocompatibility antigen, Cw-4 alpha chain",1,246645,224138,156460,173657,182407,252751,,239430,292638,230490,201438,239908
P30519,A0A087WT44;I3L159;I3L1F5;P30519-2;P30519,HMOX2_HUMAN,HMOX2,Heme oxygenase 2,15,2369700,2246410,2333300,2151500,2180050,2175240,2539200,3274780,3218380,2954740,3116920,3013500
P30520,P30520,PURA2_HUMAN,ADSS,Adenylosuccinate synthetase isozyme 2,13,3480440,3071710,3216590,2924350,2989540,2878070,2484680,2487040,2615550,1849010,1696880,1683490
P30530;P30530-2,M0R0W6;P30530-2;P30530,UFO-2_HUMAN;UFO_HUMAN,AXL,Tyrosine-protein kinase receptor UFO,3,516478,397424,592121,498881,365405,415164,507285,626081,656460,609810,376520,609159
P30533,P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,20,4131510,4336860,4218870,4594810,4467670,4556470,4457440,5716880,5403650,5444680,5265420,5352700
P30536,B1AH87;P30536,TSPO_HUMAN,TSPO,Translocator protein,1,,173413,246659,,,,,,,214922,155748,254596
P30566,A0A096LNY4;A0A096LNY5;A0A096LP72;A0A0A6YY92;A0A1B0GTG9;A0A1B0GTJ7;A0A1B0GWF8;A0A1B0GWJ0;B4DEP1;P30566-2;A0A1W2PRX2;P30566,PUR8_HUMAN,ADSL,Adenylosuccinate lyase,15,3209880,3084560,2996870,2950870,2958890,2837870,1901600,2175830,2173220,1653120,1712870,1604920
P30622;P30622-1;P30622-2,F5H1T5;F5H270;F5H367;F5H6A0;J3KP58;P30622-1;P30622-2;P30622,CLIP1-1_HUMAN;CLIP1-2_HUMAN;CLIP1_HUMAN,CLIP1,CAP-Gly domain-containing linker protein 1,8,413744,495751,413021,490239,468215,491249,285101,456577,419180,397625,,373435
P30626;P30626-2;P30626-3,C9J0K6;P30626-2;P30626-3;P30626,SORCN-2_HUMAN;SORCN-3_HUMAN;SORCN_HUMAN,SRI,Sorcin,9,3566910,3585210,3425900,2074010,2026130,1988710,1305710,1334000,1374890,1067930,1419350,998330
P30740,P30740,ILEU_HUMAN,SERPINB1,Leukocyte elastase inhibitor,2,490401,448316,488166,475108,456738,448784,406976,346575,321747,211414,512711,343701
P30825,P30825,CTR1_HUMAN,SLC7A1,High affinity cationic amino acid transporter 1,8,2911110,2816270,2852770,2621020,2608990,2533560,2771990,3555200,3557270,2895470,2963810,2892580
P30837,P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",20,8895590,8111120,9264990,9969120,9983100,9444580,9246790,10972800,10884300,11099300,11012600,10884800
P30876,A0A1W2PPT5;C9J2Y9;C9J4M6;P30876,RPB2_HUMAN,POLR2B,DNA-directed RNA polymerase II subunit RPB2,44,3072340,3037300,2998380,3005590,2981310,2907740,2647260,2657930,2735730,2865730,2922490,2933280
P31040,D6RFM5;A0A494C1T6;P31040,SDHA_HUMAN,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",25,6162070,6572990,6737990,7370250,7195080,6409700,6297090,7642010,7508730,7316210,6576540,7004130
P31146,P31146,COR1A_HUMAN,CORO1A,Coronin-1A,2,226794,189912,195599,190032,207809,205577,134870,150732,136155,,113698,190500
P31150,G5E9U5;P31150,GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha,8,3757140,3723760,3988980,3687630,3697250,3238170,1684120,2213080,2235210,1593430,1824620,1772970
P31151,P31151;Q86SG5,S10A7_HUMAN,S100A7,Protein S100-A7,8,,,,6181420,1061830,,507116,,,929197,13118900,576772
P31152,K7ELV1;P31152,MK04_HUMAN,MAPK4,Mitogen-activated protein kinase 4,1,333513,801728,852640,596022,997066,661162,,1014610,922501,614310,543404,546246
P31153,P31153-2;P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,19,6201630,5971530,6165580,6101790,6177010,5883660,6134650,5980810,5926680,4229670,4176700,4191630
P31321,C9JSK5;H7BYW5;P31321,KAP1_HUMAN,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit,3,460128,420031,384177,527993,538354,421859,360229,308682,370084,,,
P31323,P31323,KAP3_HUMAN,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,12,1106550,1076660,1103430,1096910,1202070,1178860,1348550,1129050,1191000,1192140,1101890,1234800
P31327;P31327-3,P31327-2;P31327-3;P31327,CPSM-3_HUMAN;CPSM_HUMAN,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",14,374430,453191,454421,481187,541971,538880,976832,954622,971007,792309,837928,813776
P31350;P31350-2,A0A286YFD6;C9JXC1;P31350-2;P31350,RIR2-2_HUMAN;RIR2_HUMAN,RRM2,Ribonucleoside-diphosphate reductase subunit M2,13,3053250,3043140,2841350,3528540,3580820,3889710,2312330,2387160,2459160,2081440,1912710,1985070
P31431;P31431-2,P31431-2;P31431,SDC4-2_HUMAN;SDC4_HUMAN,SDC4,Syndecan-4,2,512754,660830,636443,,,617864,,805542,593498,,,407228
P31483,C9JTN7;E5RG67;E5RGV5;F8W8I6;H7BY49;P31483-2;P31483-3;P31483,TIA1_HUMAN,TIA1,Nucleolysin TIA-1 isoform p40,6,2072420,2120910,2001120,2248980,2127960,2104110,2309020,2642350,2766680,2700510,2516460,2570210
P31641,A0A087WY96;H7C1B9;P31641,SC6A6_HUMAN,SLC6A6,Sodium- and chloride-dependent taurine transporter,5,1609990,1548260,1567410,1093410,1098580,988346,1808750,1608200,1715040,1625670,1672080,1628620
P31689,P31689-2;P31689,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1,16,3420140,3719550,3801970,3348920,3247280,2986350,3245330,2930980,2931850,2637500,2596940,2570630
P31930,P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",20,12297300,11902900,12585000,11195400,11528700,10191800,12910800,14300000,14181100,13298500,12930700,12905500
P31937,P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",11,2097470,2370370,2223460,2312090,2347160,2373670,1756750,2194030,2222050,1898830,2072590,1923910
P31939,H7C1S2;P31939-2;P31939,PUR9_HUMAN,ATIC,Bifunctional purine biosynthesis protein PURH,35,6600850,6528110,6737170,6121250,6257360,6115150,4478960,5331740,5334110,3826750,3814590,3870410
